"","Film","Released_Year","Released_month","Director","Cast_1","Cast_2","Genre_1","Genre_2","IMDB_Ratings","IMDB_Users","Budget_in_crore.INR.","Worldwide_box_office_gross_in_crore.INR."
"173","Dangal",2016,"December","Nitesh Tiwari","Aamir Khan","Sakshi Tanwar","Biography","",8.4,181817,132,702.48
"37","Bajrangi Bhaijaan",2015,"July","Kabir Khan","Salman Khan","Kareena Kapoor","Action","Drama",8.1,84768,125,603.99
"343","Sanju",2018,"June","Rajkumar Hirani","Ranbir Kapoor","Anushka Sharma","Biography ","",7.6,52977,96,578.45
"130","Sultan",2016,"July","Ali Abbas Zafar","Salman Khan","Randeep Hooda","Sports","",7.1,45224,145,577.29
"278","Tiger Zinda Hai",2017,"December","Ali Abbas Zafar","Salman Khan","Katrina Kaif","Action","",5.9,28510,210,565.1
"291","Padmaavat",2018,"January","Sanjay Leela Bhansali","Deepika Padukone","Ranveer Singh","Drama","",7,31272,215,545.93
"524","War",2019,"October","Siddharth Anand","Hrithik Roshan"," Tiger Shroff","Action","Drama",6.5,23816,205,442.42
"414","Simmba",2018,"December","Rohit Shetty","Ranveer Singh","Sara Ali Khan","Comedy","Romance",5.7,23270,139,391.68
"480","Kabir Singh",2019,"June","Sandeep Reddy Vanga","Shahid Kapoor"," Kiara Advani","Drama","Romance",7,31320,68,373.5
"69","Dilwale",2015,"December","Rohit Shetty","Shahrukh Khan","Kajol","Action","Romance",5.1,34213,165,372.23
"65","Prem Ratan Dhan Payo",2015,"November","Sooraj Barjatya","Salman Khan","Sonam Kapoor","Drama","",4.5,21791,180,365.45
"552","Tanhaji: The Unsung Warrior",2020,"January","Om Raut","Ajay Devgn"," Saif Ali Khan","Drama","War",7.6,28560,172,361.78
"68","Bajirao Mastani",2015,"December","Sanjay Leela Bhansali","Ranveer Singh","Deepika Padukone","Drama","",7.3,34169,145,356.2
"427","Uri",2019,"January","Aditya Dhar","Vicky Kaushal"," Yami Gautam","War","Drama",8.2,58473,44,338.4
"257","Golmaal Again",2017,"October","Rohit Shetty","Ajay Devgn","Tabu","Comedy","",4.9,9210,142,311.05
"485","Bharat",2019,"June","Ali Abbas Zafar","Salman Khan"," Katrina Kaif","Action","Adventure",4.7,30606,240,308.7
"344","Race 3",2018,"June","Remo DSouza","Salman Khan","Jacqueline Fernandez","Action","Thriller",1.9,45962,185,305.16
"539","Good Newwz",2019,"December","Raj Mehta","Akshay Kumar"," Kareena Kapoor`","Drama","Romance",6.8,19543,117,304.27
"674","Sooryavanshi",2021,"November","Rohit Shetty","Akshay Kumar"," Katrina Kaif","Action","Thriller",6.9,74999,250,298.84
"511","Housefull 4",2019,"October","Farhad Samji","Akshay Kumar"," Kriti Sanon","Comedy","Drama",3.5,12474,162,294.8
"497","Mission Mangal",2019,"August","Jagan Shakti","Akshay Kumar"," Vidya Balan","Drama","Thriller",6.5,15408,95,279.69
"177","Raees",2017,"January","Rahul Dholakia","Shahrukh Khan","Mahira Khan","Drama","",6.8,43782,127,272.52
"312","Baaghi 2",2018,"March","Ahmed Khan","Tiger Shroff","Disha Patani","Action","Romance",4.8,10489,59,251.05
"409","Thugs Of Hindostan",2018,"November","Vijay Krishna Acharya","Amitabh Bachchan","Aamir Khan","Action","Thriller",4,19352,310,245.09
"26","Tanu Weds Manu Returns",2015,"May","Anand L Rai","Kangana Ranaut","Madhavan","Drama","",7.7,28557,39,243.64
"436","Gully Boy",2019,"February","Zoya Akhtar","Ranveer Singh"," Alia Bhatt","Drama","Romance",7.9,38069,84,230.28
"153","Ae Dil Hai Mushkil",2016,"October","Karan Johar","Ranbir Kapoor","Aishwarya Rai Bachchan","Romance","Drama",5.8,22923,98,229.56
"432","Total Dhamaal",2019,"February","Indra Kumar","Ajay Devgn"," Madhuri Dixit","Adventure ","Comedy",4.1,6880,113,227.21
"395","Badhaai Ho",2018,"October","Amit Sharma","Ayushmann Khurrana","Sanya Malhotra","Comedy","Family",8,33416,29,219.54
"540","Dabangg 3",2019,"December","Prabhu Deva","Salman Khan"," Sudeep","Action","Comedy",3,18585,178,217.85
"137","Rustom",2016,"August","Tinu Suresh Desai","Akshay Kumar","Esha Gupta","Action","Romance",7,26167,73,214
"74","Airlift",2016,"January","Raja Krishna Menon","Akshay Kumar","Nimrat Kaur","Action","",8,56360,68,209.97
"215","Tubelight",2017,"June","Kabir Khan","Salman Khan","Sohail Khan","Drama","War",4.1,20014,135,207.99
"242","Judwaa 2",2017,"September","David Dhawan","Varun Dhawan","Taapsee Pannu","Comedy","",3.6,10585,63,206.65
"491","Super 30",2019,"July","Vikas Bahl","Hrithik Roshan"," Pankaj Tripathi","Biography","Drama",7.9,29804,120,205.35
"509","Chhichhore",2019,"September","Nitesh Tiwari","Sushant Singh Rajput"," Shraddha Kapoor","Comedy","Drama",8.2,49672,53,203.63
"450","Kesari",2019,"March","Anurag Singh","Akshay Kumar"," Parineeti Chopra","Drama","War",7.4,19383,126,201.3
"238","Toilet Ek Prem Katha",2017,"August","Shree Narayan Singh","Akshay Kumar","Bhumi Pednekar","Comedy","Romance",7.2,20663,75,200.08
